price,first_name,last_name,above_100
117,Lily-Rose,Crowther,True
198,Teagan,Lynn,True
39,Jerome,Gibbs,False
157,Bobby,O'Moore,True
0,Eduardo,Whitfield,False
120,Khalil,Kavanagh,True
880,Huw,Weber,True
172,Eathan,Bishop,True
98,Alysha,Barnard,False
122,Hettie,Santos,True
143,Blaine,Drummond,True
178,Mercy,Ramirez,True
53,Merryn,Rutledge,False
22,Homer,Johns,False
20,Larry,Bender,False
178,Amal,Haynes,True
193,Kevin,Scott,True
87,Yasir,Medrano,False
67,Ksawery,Glass,False
178,Santino,Macgregor,True
41,Laurence,Wicks,False
34,Luka,Baird,False
111,Haniya,Schmidt,True
189,Suhail,Humphrey,True
48,Ira,Clayton,False
170,Kaya,Odonnell,True
12,Angelo,Santana,False
197,Riley,Lloyd,True
112,Kendrick,Raymond,True
39,Ann,Appleton,False
149,Sienna,Kendall,True
0,Dylan,Goff,False
96,Tayyibah,Kidd,False
61,Dale,Rodriguez,False
89,Emma,Parkinson,False
71,India,Maxwell,False
114,Manisha,Morales,True
88,Stefan,Tran,False
0,Kian,Moore,False
177,Isobel,Melendez,True
7,Zubair,Clements,False
170,Salahuddin,Mill,True
29,Mitchel,Hirst,False
128,Harlow,Walsh,True
0,Dominick,Long,False
96,Liam,Chavez,False
20,Lacey-Mai,Gilbert,False
82,Tyrique,Weiss,False
64,Harry,Rose,False
17,Jevan,Grey,False
83,Dana,Sheppard,False
22,Cain,Mcfadden,False
117,Cassie,Jones,True
22,Leyla,Miranda,False
54,Lilly-Mai,Bernard,False
2,Dakota,Thomas,False
62,Zeshan,Kim,False
164,Emilia,Anthony,True
166,Kadie,Hurst,True
